schemaname,tablename,indexname,indexdef
migration,listing_contacts,idx_listing_contacts_email_trgm,CREATE INDEX idx_listing_contacts_email_trgm ON migration.listing_contacts USING gin (email_address gin_trgm_ops)
migration,listing_contacts,idx_listing_contacts_full_name_trgm,CREATE INDEX idx_listing_contacts_full_name_trgm ON migration.listing_contacts USING gin (full_name gin_trgm_ops)
migration,listing_contacts,idx_listing_contacts_listing,CREATE INDEX idx_listing_contacts_listing ON migration.listing_contacts USING btree (listing_id)
migration,listing_contacts,idx_listing_contacts_phone_trgm,CREATE INDEX idx_listing_contacts_phone_trgm ON migration.listing_contacts USING gin (phone_number gin_trgm_ops)
migration,listing_contacts,idx_listing_contacts_primary_lookup,"CREATE INDEX idx_listing_contacts_primary_lookup ON migration.listing_contacts USING btree (listing_id, id)"
migration,listing_contacts,listing_contacts_pkey,CREATE UNIQUE INDEX listing_contacts_pkey ON migration.listing_contacts USING btree (id)
migration,listing_features,idx_listing_features_category,"CREATE INDEX idx_listing_features_category ON migration.listing_features USING btree (listing_id, feature_category)"
migration,listing_features,idx_listing_features_listing,CREATE INDEX idx_listing_features_listing ON migration.listing_features USING btree (listing_id)
migration,listing_features,idx_listing_features_lookup,"CREATE INDEX idx_listing_features_lookup ON migration.listing_features USING btree (listing_id, lower(TRIM(BOTH FROM COALESCE(feature_category, ''::text))), lower(TRIM(BOTH FROM COALESCE(feature_value, ''::text))))"
migration,listing_features,listing_features_pkey,CREATE UNIQUE INDEX listing_features_pkey ON migration.listing_features USING btree (id)
migration,listing_images,idx_listing_images_listing,CREATE INDEX idx_listing_images_listing ON migration.listing_images USING btree (listing_id)
migration,listing_images,listing_images_pkey,CREATE UNIQUE INDEX listing_images_pkey ON migration.listing_images USING btree (id)
migration,listing_images,uq_listing_images_listing_id_file_url,"CREATE UNIQUE INDEX uq_listing_images_listing_id_file_url ON migration.listing_images USING btree (listing_id, file_url)"
migration,listing_mandate_documents,idx_listing_mandate_docs_listing,CREATE INDEX idx_listing_mandate_docs_listing ON migration.listing_mandate_documents USING btree (listing_id)
migration,listing_mandate_documents,listing_mandate_documents_pkey,CREATE UNIQUE INDEX listing_mandate_documents_pkey ON migration.listing_mandate_documents USING btree (id)
migration,listing_marketing_urls,idx_listing_marketing_urls_listing,CREATE INDEX idx_listing_marketing_urls_listing ON migration.listing_marketing_urls USING btree (listing_id)
migration,listing_marketing_urls,listing_marketing_urls_pkey,CREATE UNIQUE INDEX listing_marketing_urls_pkey ON migration.listing_marketing_urls USING btree (id)
migration,listing_open_house,idx_listing_open_house_listing,CREATE INDEX idx_listing_open_house_listing ON migration.listing_open_house USING btree (listing_id)
migration,listing_open_house,listing_open_house_pkey,CREATE UNIQUE INDEX listing_open_house_pkey ON migration.listing_open_house USING btree (id)
migration,listing_property_areas,idx_listing_property_areas_listing,CREATE INDEX idx_listing_property_areas_listing ON migration.listing_property_areas USING btree (listing_id)
migration,listing_property_areas,idx_listing_property_areas_listing_type,"CREATE INDEX idx_listing_property_areas_listing_type ON migration.listing_property_areas USING btree (listing_id, lower(TRIM(BOTH FROM COALESCE(area_type, ''::text))))"
migration,listing_property_areas,listing_property_areas_pkey,CREATE UNIQUE INDEX listing_property_areas_pkey ON migration.listing_property_areas USING btree (id)
migration,listing_show_times,idx_listing_show_times_listing,CREATE INDEX idx_listing_show_times_listing ON migration.listing_show_times USING btree (listing_id)
migration,listing_show_times,listing_show_times_pkey,CREATE UNIQUE INDEX listing_show_times_pkey ON migration.listing_show_times USING btree (id)
migration,listing_transfer_log,listing_transfer_log_pkey,CREATE UNIQUE INDEX listing_transfer_log_pkey ON migration.listing_transfer_log USING btree (id)
migration,listings_prepared,listings_prepared_pkey,CREATE UNIQUE INDEX listings_prepared_pkey ON migration.listings_prepared USING btree (source_listing_id)
migration,load_rejections,load_rejections_pkey,CREATE UNIQUE INDEX load_rejections_pkey ON migration.load_rejections USING btree (id)
migration,market_center_notes,idx_market_center_notes_market_center,CREATE INDEX idx_market_center_notes_market_center ON migration.market_center_notes USING btree (market_center_id)
migration,market_center_notes,market_center_notes_pkey,CREATE UNIQUE INDEX market_center_notes_pkey ON migration.market_center_notes USING btree (id)
migration,market_centers_prepared,market_centers_prepared_pkey,CREATE UNIQUE INDEX market_centers_prepared_pkey ON migration.market_centers_prepared USING btree (source_market_center_id)
migration,mc_dashboard_daily_snapshots,mc_dashboard_daily_snapshots_pkey,"CREATE UNIQUE INDEX mc_dashboard_daily_snapshots_pkey ON migration.mc_dashboard_daily_snapshots USING btree (snapshot_date, mc_source_id)"
migration,mc_document_hub,mc_document_hub_mc_idx,CREATE INDEX mc_document_hub_mc_idx ON migration.mc_document_hub USING btree (source_market_center_id)
migration,mc_document_hub,mc_document_hub_pkey,CREATE UNIQUE INDEX mc_document_hub_pkey ON migration.mc_document_hub USING btree (id)
migration,outside_agency_contacts,idx_outside_agency_tx,CREATE INDEX idx_outside_agency_tx ON migration.outside_agency_contacts USING btree (transaction_id)
migration,outside_agency_contacts,outside_agency_contacts_pkey,CREATE UNIQUE INDEX outside_agency_contacts_pkey ON migration.outside_agency_contacts USING btree (id)
migration,team_associate_commissions,team_associate_commissions_pkey,CREATE UNIQUE INDEX team_associate_commissions_pkey ON migration.team_associate_commissions USING btree (id)
migration,team_associate_commissions,team_associate_commissions_team_id_key,CREATE UNIQUE INDEX team_associate_commissions_team_id_key ON migration.team_associate_commissions USING btree (team_id)
migration,team_cap_history,team_cap_history_pkey,CREATE UNIQUE INDEX team_cap_history_pkey ON migration.team_cap_history USING btree (id)
migration,team_caps,team_caps_pkey,CREATE UNIQUE INDEX team_caps_pkey ON migration.team_caps USING btree (id)
migration,team_caps,team_caps_team_id_cap_year_key,"CREATE UNIQUE INDEX team_caps_team_id_cap_year_key ON migration.team_caps USING btree (team_id, cap_year)"
migration,team_dates,team_dates_pkey,CREATE UNIQUE INDEX team_dates_pkey ON migration.team_dates USING btree (id)
migration,team_dates,team_dates_team_id_key,CREATE UNIQUE INDEX team_dates_team_id_key ON migration.team_dates USING btree (team_id)
migration,team_notes,team_notes_pkey,CREATE UNIQUE INDEX team_notes_pkey ON migration.team_notes USING btree (id)
migration,team_portal_settings,team_portal_settings_pkey,CREATE UNIQUE INDEX team_portal_settings_pkey ON migration.team_portal_settings USING btree (id)
migration,team_portal_settings,team_portal_settings_team_id_key,CREATE UNIQUE INDEX team_portal_settings_team_id_key ON migration.team_portal_settings USING btree (team_id)
migration,teams_prepared,teams_prepared_pkey,CREATE UNIQUE INDEX teams_prepared_pkey ON migration.teams_prepared USING btree (source_team_id)
migration,transaction_agent_calculations,idx_tac_assoc,CREATE INDEX idx_tac_assoc ON migration.transaction_agent_calculations USING btree (associate_id)
migration,transaction_agent_calculations,idx_tac_report_dt,CREATE INDEX idx_tac_report_dt ON migration.transaction_agent_calculations USING btree (effective_reporting_date)
migration,transaction_agent_calculations,idx_tac_ta,CREATE INDEX idx_tac_ta ON migration.transaction_agent_calculations USING btree (transaction_agent_id)
migration,transaction_agent_calculations,idx_tac_tx,CREATE INDEX idx_tac_tx ON migration.transaction_agent_calculations USING btree (transaction_id)
migration,transaction_agent_calculations,idx_tx_calc_associate_id,CREATE INDEX idx_tx_calc_associate_id ON migration.transaction_agent_calculations USING btree (associate_id)
migration,transaction_agent_calculations,idx_tx_calc_office,CREATE INDEX idx_tx_calc_office ON migration.transaction_agent_calculations USING btree (office_name)
migration,transaction_agent_calculations,idx_tx_calc_registered,CREATE INDEX idx_tx_calc_registered ON migration.transaction_agent_calculations USING btree (is_registered)
migration,transaction_agent_calculations,idx_tx_calc_reporting_date,CREATE INDEX idx_tx_calc_reporting_date ON migration.transaction_agent_calculations USING btree (effective_reporting_date)
migration,transaction_agent_calculations,idx_tx_calc_transaction_id,CREATE INDEX idx_tx_calc_transaction_id ON migration.transaction_agent_calculations USING btree (transaction_id)
migration,transaction_agent_calculations,transaction_agent_calculations_pkey,CREATE UNIQUE INDEX transaction_agent_calculations_pkey ON migration.transaction_agent_calculations USING btree (id)
migration,transaction_agents,idx_migration_ta_assoc,CREATE INDEX idx_migration_ta_assoc ON migration.transaction_agents USING btree (associate_id)
migration,transaction_agents,idx_migration_ta_tx,CREATE INDEX idx_migration_ta_tx ON migration.transaction_agents USING btree (transaction_id)
migration,transaction_agents,idx_transaction_agents_associate,CREATE INDEX idx_transaction_agents_associate ON migration.transaction_agents USING btree (associate_id)
migration,transaction_agents,idx_transaction_agents_transaction,CREATE INDEX idx_transaction_agents_transaction ON migration.transaction_agents USING btree (transaction_id)
migration,transaction_agents,transaction_agents_pkey,CREATE UNIQUE INDEX transaction_agents_pkey ON migration.transaction_agents USING btree (id)
migration,transaction_documents,idx_tx_documents_tx,CREATE INDEX idx_tx_documents_tx ON migration.transaction_documents USING btree (transaction_id) WHERE (deleted_at IS NULL)
migration,transaction_documents,transaction_documents_pkey,CREATE UNIQUE INDEX transaction_documents_pkey ON migration.transaction_documents USING btree (id)
migration,transaction_status_history,idx_tx_status_history_tx,"CREATE INDEX idx_tx_status_history_tx ON migration.transaction_status_history USING btree (transaction_id, changed_at DESC)"
migration,transaction_status_history,transaction_status_history_pkey,CREATE UNIQUE INDEX transaction_status_history_pkey ON migration.transaction_status_history USING btree (id)
migration,transactions_prepared,transactions_prepared_pkey,"CREATE UNIQUE INDEX transactions_prepared_pkey ON migration.transactions_prepared USING btree (source_transaction_id, source_associate_id)"
public,SoftDeleteHelper,SoftDeleteHelper_pkey,"CREATE UNIQUE INDEX ""SoftDeleteHelper_pkey"" ON public.""SoftDeleteHelper"" USING btree (id)"
public,addresses,addresses_cityId_idx,"CREATE INDEX ""addresses_cityId_idx"" ON public.addresses USING btree (""cityId"")"
public,addresses,addresses_pkey,CREATE UNIQUE INDEX addresses_pkey ON public.addresses USING btree (id)
public,addresses,addresses_suburbId_idx,"CREATE INDEX ""addresses_suburbId_idx"" ON public.addresses USING btree (""suburbId"")"
public,addresses,idx_addresses_suburb_street,"CREATE INDEX idx_addresses_suburb_street ON public.addresses USING btree (""suburbId"", ""streetNumber"", ""streetName"")"
public,app_users,app_users_email_key,CREATE UNIQUE INDEX app_users_email_key ON public.app_users USING btree (email)
public,app_users,app_users_google_id_key,CREATE UNIQUE INDEX app_users_google_id_key ON public.app_users USING btree (google_id)
public,app_users,app_users_pkey,CREATE UNIQUE INDEX app_users_pkey ON public.app_users USING btree (id)
public,associate_business_details,associate_business_details_associateId_key,"CREATE UNIQUE INDEX ""associate_business_details_associateId_key"" ON public.associate_business_details USING btree (""associateId"")"
public,associate_business_details,associate_business_details_pkey,CREATE UNIQUE INDEX associate_business_details_pkey ON public.associate_business_details USING btree (id)
public,associate_contact_details,associate_contact_details_associateId_key,"CREATE UNIQUE INDEX ""associate_contact_details_associateId_key"" ON public.associate_contact_details USING btree (""associateId"")"
public,associate_contact_details,associate_contact_details_pkey,CREATE UNIQUE INDEX associate_contact_details_pkey ON public.associate_contact_details USING btree (id)
public,associate_statuses,associate_statuses_pkey,CREATE UNIQUE INDEX associate_statuses_pkey ON public.associate_statuses USING btree (id)
public,associate_third_party_integrations,associate_third_party_integrations_associateId_key,"CREATE UNIQUE INDEX ""associate_third_party_integrations_associateId_key"" ON public.associate_third_party_integrations USING btree (""associateId"")"
public,associate_third_party_integrations,associate_third_party_integrations_pkey,CREATE UNIQUE INDEX associate_third_party_integrations_pkey ON public.associate_third_party_integrations USING btree (id)
public,associate_transfer_statuses,associate_transfer_statuses_pkey,CREATE UNIQUE INDEX associate_transfer_statuses_pkey ON public.associate_transfer_statuses USING btree (id)
public,associate_transfers,associate_transfers_associateId_idx,"CREATE INDEX ""associate_transfers_associateId_idx"" ON public.associate_transfers USING btree (""associateId"")"
public,associate_transfers,associate_transfers_pkey,CREATE UNIQUE INDEX associate_transfers_pkey ON public.associate_transfers USING btree (id)
public,associate_transfers,associate_transfers_transferStatusId_idx,"CREATE INDEX ""associate_transfers_transferStatusId_idx"" ON public.associate_transfers USING btree (""transferStatusId"")"
public,associates,associates_marketCenterId_idx,"CREATE INDEX ""associates_marketCenterId_idx"" ON public.associates USING btree (""marketCenterId"")"
