"source_associate_id","kwuid","growth_share_sponsor_source_id","proposed_growth_share_sponsor","temporary_growth_share_sponsor","vested","vesting_start_period","listing_approval_required","exclude_from_individual_reports","source_market_center_id","source_team_id"
"202","408206","668","","false","true","2015-07-01T00:00:00","true","false","37",""
"203","408191","50","","false","false","2015-07-01T00:00:00","true","false","72",""
"204","408669","185","","false","true","2015-07-01T00:00:00","true","false","45",""
"205","408662","698","","false","true","2015-07-01T00:00:00","true","false","45",""
"206","408855","733","","false","true","2015-07-07T00:00:00","false","false","28",""
"207","408851","173","","false","true","2015-07-06T00:00:00","false","false","28",""
"208","408857","716","","false","false","2015-07-01T00:00:00","true","false","187","192"
"209","409056","669","","false","true","2015-07-01T00:00:00","false","false","28",""
"210","409238","195","","false","true","2015-07-03T00:00:00","true","false","50",""
"211","409989","146","","false","true","2015-07-01T00:00:00","true","false","56",""
"212","410141","","","false","true","2015-07-01T00:00:00","true","false","26",""
"213","411035","91","","false","true","2015-07-01T00:00:00","true","false","59",""
"214","412271","676","","false","false","2015-08-01T00:00:00","false","false","33",""
"215","412273","22","","false","true","2015-08-01T00:00:00","true","false","55",""
"216","412532","820","","false","true","2018-07-18T00:00:00","true","false","33",""
"217","412538","706","","false","true","2015-08-01T00:00:00","false","false","28",""
"218","412716","38","","false","true","2018-03-13T00:00:00","false","false","26",""
"219","412729","","","false","true","2015-08-01T00:00:00","true","false","58",""
"220","412954","199","","false","true","2015-08-01T00:00:00","true","false","56",""
"221","412946","805","","false","true","2015-08-01T00:00:00","true","false","56",""
"222","413689","135","","false","false","2015-08-01T00:00:00","false","false","37",""
"223","412737","","","false","true","2015-08-01T00:00:00","true","false","58",""
"224","412738","","","false","true","2015-08-01T00:00:00","true","false","58",""
"225","412951","973","","false","true","2015-08-01T00:00:00","true","false","56",""
"226","412949","973","","false","true","2019-03-01T00:00:00","false","false","115",""
"227","412945","111","","false","true","2017-09-01T00:00:00","true","false","56",""
"228","413149","","","false","true","2015-08-01T00:00:00","true","false","58",""
"229","413146","151","","false","true","2015-08-01T00:00:00","true","false","54",""
"230","413514","151","","false","true","2015-08-01T00:00:00","true","false","54","62"
"231","413518","149","","false","true","2015-08-01T00:00:00","true","false","54","62"
"232","413515","","","false","true","2015-08-01T00:00:00","true","false","54",""
"233","413513","149","","false","true","2015-08-01T00:00:00","true","false","54","62"
"234","413503","151","","false","true","2015-08-01T00:00:00","true","false","54","62"
"235","413690","151","","false","true","2015-08-01T00:00:00","true","false","54","62"
"236","413894","179","","false","false","2015-08-18T00:00:00","false","false","47",""
"237","414321","151","","false","true","2015-08-01T00:00:00","true","false","54","62"
"238","414307","151","","false","true","2015-08-01T00:00:00","true","false","54","62"
"239","413906","","","false","true","2015-08-01T00:00:00","true","false","28",""
"240","413891","","","false","true","2015-08-01T00:00:00","true","false","55",""
"241","414066","684","","false","false","2015-08-03T00:00:00","false","false","43",""
"242","414984","179","","false","false","2015-08-24T00:00:00","false","false","47",""
"243","414576","663","","false","true","2015-08-01T00:00:00","false","false","28",""
"244","414986","752","","false","true","2015-08-11T00:00:00","true","false","43",""
"245","414827","94","","false","false","2015-08-11T00:00:00","true","false","60",""
"246","414824","676","","false","true","2018-04-23T00:00:00","true","false","40",""
"247","414822","56","","false","true","2015-08-01T00:00:00","false","false","28",""
"248","414987","663","","false","false","2015-08-19T00:00:00","true","false","44",""
"249","416866","797","","false","true","2015-09-01T00:00:00","true","false","37",""
"250","415326","673","","false","false","2015-08-03T00:00:00","true","false","44",""
"251","415498","99","","false","true","2017-08-14T00:00:00","true","false","58",""
"252","416337","195","","false","true","2015-09-01T00:00:00","true","false","50",""
"253","416333","187","","false","true","2018-07-18T00:00:00","true","false","33",""
"254","416344","","","false","true","2015-09-01T00:00:00","true","false","38",""
"255","416611","","","false","true","2015-09-01T00:00:00","true","false","57",""
"256","416608","918","","false","true","2018-06-14T00:00:00","true","false","45",""
"257","416856","108","","false","true","2015-09-01T00:00:00","true","false","54","34"
"258","417323","55","","false","true","2015-09-01T00:00:00","true","false","40",""
"259","417322","252","","false","true","2015-09-03T00:00:00","false","false","50",""
