"source_listing_id","url","marketing_url_type_id"
"197916","2PFSyKweMvE","1"
"197966","Ef0iYAn4r6I","1"
"198007","EUBpo2OwMSc","1"
"198066","dsZexNyajr4","1"
"198099","Ax8nKKbSxpE","1"
"198117","JmvtLmMsReU","1"
"198201","bJDcutP73x8","1"
"198251","_HyqqAc_KVM","1"
"198257","zJPXgG74sNI","1"
"198396","https://outeniquasbosch.co.za/","1"
"198409","n9Iw7d_OgB0","1"
"198412","AXZLF91qTy0&t","1"
"198414","kcAtW0THl1U","1"
"198429","eR82H2_SZLM","1"
"198454"," ","1"
"198475","AI8ZuD_Eg-U","1"
"198481","pwYqD2Bxbgs","1"
"198489","Mq1gNs-ZRzw","1"
"198490","ob5h1gzR7bg","1"
"198620","9KC_kKjJyaU","1"
"198633","uvGQvEicJzk","1"
"198656","dwyr1V2z5Qw","1"
"198676","i6b2AhbJEEg","1"
"198722","SllLMqLHLHI","1"
"198731","SllLMqLHLHI","1"
"198732","YG3IhV1j9M0","1"
"198740","Dfd9qVT_gq8","1"
"198748","ocNqrFFwQOI","1"
"198782","TZZ7HZP62Es","1"
"198787","jBqRWtNE5Cw","1"
"198802","DksByoBoKek","1"
"198855","0ZS9vg5LLf0","1"
"198885","Li5tOTghCyI","1"
"198894","MmnFi6qU5Yo","1"
"198901","rZ3GiuzhfTY","1"
"198907","24oDwe2HFt4","1"
"198947","qzX6vCxXk3w","1"
"198950","YIpBkVqtQmk","1"
"198951","QhkV3eTwwmw","1"
"198953","7bXC7uin-G0","1"
"198984","1pz87hWLG2s","1"
"199017","LLXlYibHhE4","1"
"199020","sH3LsERKEuQ","1"
"199046","RV2wj1NzFd4","1"
"199058","https://www.youtube.com/watch?v=Kc-IDAFu4Ro","1"
"199062","7EPxpFKKLGU","1"
"199108","migqDOj05Dk","1"
"199115","lKjvKM3lE5I","1"
"199170","5R23NW7oXAM","1"
"199174","lyi7rIsiaBg","1"
"199178","FXYdMnhD8IA","1"
"199190","mZBQutpGHzY","1"
"199191","https://www.youtube.com/watch?v=7dnOWzXxCAg","1"
"199199","ECAaAyt4Nv4","1"
"199211","7dnOWzXxCAg","1"
"199213","ves5LgyLLpk","1"
"199355","https://www.youtube.com/watch?v=lsS2g8qak0o","1"
"199373","ny4Rce1V2cU","1"
"199380","nVSyaVszgBk","1"
"199408","ALwAHJ9eqXE","1"
"199444","bBVHF9KJ_Sg","1"
"199453","0GJRzuL_yjY","1"
"199495","SPtwZR3M0K4","1"
"199584","RFVG8Utktp8","1"
"199593","lXX91YWjE7Q","1"
"199636","VWHm4mu4ds4","1"
"199650","1YhGi4ck6Mo","1"
"199668","uhIGMSiwAc4","1"
"199724","https://www.youtube.com/watch?v=1erTZZkdqgA","1"
"199733","FzG-uS7fuEs","1"
"199780","W0MY_ZacY50","1"
"199784","2yOLoMWhnes","1"
"199785","ym7LRLoMUG0","1"
"199800","CNkTpovyFxQ","1"
"199806","CQdZLadmI_8","1"
"199810","oML8-O10ZP4","1"
"199834","t9z4tnQNblk","1"
"199885","Ou0euMGeWos","1"
"199895","AksXo85CB1o","1"
"199903","cJTQDJyvYNE","1"
"199976","DV8C2If5Q50","1"
